Year,Date,Hour,CensusTract_2010,NumberOfReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_list,CensusBlockID_list
2019,01/21/2019,09 PM,92.0,1,9200,Census Tract 92,New York County,[360610092001003],[1003]
2019,03/07/2019,08 AM,143.0,1,14300,Census Tract 143,New York County,[360610143001040],[1040]
2019,03/21/2019,07 PM,92.0,1,9200,Census Tract 92,New York County,[360610092001005],[1005]
2019,04/04/2019,02 PM,195.0,1,19500,Census Tract 195,New York County,[360610195001005],[1005]
2019,04/27/2019,10 AM,143.0,1,14300,Census Tract 143,New York County,[360610143001024],[1024]
2019,05/11/2019,12 AM,21.0,1,2100,Census Tract 21,New York County,[360610021001011],[1011]
2019,06/04/2019,08 AM,94.0,1,9400,Census Tract 94,New York County,[360610094001008],[1008]
2019,06/05/2019,12 PM,170.0,1,17000,Census Tract 170,New York County,[360610170001000],[1000]
2019,06/22/2019,08 PM,9.0,1,900,Census Tract 9,New York County,[360610009001000],[1000]
2019,07/09/2019,03 PM,48.0,1,4800,Census Tract 48,New York County,[360610048005000],[5000]
2019,07/19/2019,10 AM,89.0,1,8900,Census Tract 89,New York County,[360610089002001],[2001]
2019,07/24/2019,09 AM,237.0,1,23700,Census Tract 237,New York County,[360610237003000],[3000]
2019,08/08/2019,11 AM,146.01,1,14601,Census Tract 146.01,New York County,[360610146011000],[1000]
2019,08/16/2019,05 PM,173.0,1,17300,Census Tract 173,New York County,[360610173003000],[3000]
2019,08/26/2019,10 AM,92.0,1,9200,Census Tract 92,New York County,[360610092001012],[1012]
2019,09/05/2019,07 PM,9.0,1,900,Census Tract 9,New York County,[360610009001000],[1000]
2019,09/09/2019,08 PM,112.02,1,11202,Census Tract 112.02,New York County,[360610112021001],[1001]
2019,09/11/2019,06 PM,119.0,1,11900,Census Tract 119,New York County,[360610119001004],[1004]
2019,09/13/2019,05 PM,81.0,1,8100,Census Tract 81,New York County,[360610081002001],[2001]
2019,09/19/2019,03 PM,32.0,1,3200,Census Tract 32,New York County,[360610032004000],[4000]
2019,09/30/2019,06 PM,110.0,1,11000,Census Tract 110,New York County,[360610110003002],[3002]
2019,10/14/2019,07 PM,120.0,1,12000,Census Tract 120,New York County,[360610120003000],[3000]
2019,10/20/2019,03 PM,112.03,1,11203,Census Tract 112.03,New York County,[360610112032002],[2002]
2019,10/21/2019,11 AM,149.0,1,14900,Census Tract 149,New York County,[360610149002000],[2000]
2019,10/24/2019,10 AM,120.0,1,12000,Census Tract 120,New York County,[360610120004001],[4001]
2019,10/25/2019,08 PM,112.02,1,11202,Census Tract 112.02,New York County,[360610112021002],[1002]
2019,10/30/2019,10 AM,217.03,1,21703,Census Tract 217.03,New York County,[360610217031004],[1004]
2019,11/02/2019,10 AM,15.01,1,1501,Census Tract 15.01,New York County,[360610015012003],[2003]
2019,11/07/2019,12 PM,63.0,1,6300,Census Tract 63,New York County,[360610063001000],[1000]
2019,11/08/2019,02 PM,109.0,1,10900,Census Tract 109,New York County,[360610109001007],[1007]
2019,11/09/2019,09 AM,16.0,1,1600,Census Tract 16,New York County,[360610016005006],[5006]
2019,11/12/2019,08 PM,72.0,1,7200,Census Tract 72,New York County,[360610072002000],[2000]
2019,11/17/2019,12 AM,201.0,1,20100,Census Tract 201,Bronx County,[360050201003000],[3000]
2019,11/19/2019,09 AM,164.0,1,16400,Census Tract 164,New York County,[360610164003005],[3005]
2019,11/25/2019,10 PM,122.0,1,12200,Census Tract 122,New York County,[360610122004000],[4000]
