MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME
April-2019,67.0,1,6700,Census Tract 67
April-2019,68.01,1,6801,Census Tract 68.01
April-2019,143.0,1,14300,Census Tract 143
April-2019,195.0,1,19500,Census Tract 195
April-2019,319.0,1,31900,Census Tract 319
April-2019,871.0,1,87100,Census Tract 871
August-2017,107.01,1,10701,Census Tract 107.01
August-2018,131.02,1,13102,Census Tract 131.02
August-2019,4.02,1,402,Census Tract 4.02
August-2019,22.01,1,2201,Census Tract 22.01
August-2019,41.0,1,4100,Census Tract 41
August-2019,68.02,1,6802,Census Tract 68.02
August-2019,74.01,1,7401,Census Tract 74.01
August-2019,87.0,1,8700,Census Tract 87
August-2019,90.0,1,9000,Census Tract 90
August-2019,92.0,1,9200,Census Tract 92
August-2019,95.0,1,9500,Census Tract 95
August-2019,97.02,1,9702,Census Tract 97.02
August-2019,113.0,1,11300,Census Tract 113
August-2019,131.04,1,13104,Census Tract 131.04
August-2019,146.01,1,14601,Census Tract 146.01
August-2019,148.08,1,14808,Census Tract 148.08
August-2019,173.0,1,17300,Census Tract 173
August-2019,997.01,1,99701,Census Tract 997.01
August-2019,1139.0,1,113900,Census Tract 1139
December-2019,4.0,1,400,Census Tract 4
December-2019,6.0,2,600,Census Tract 6
December-2019,7.0,1,700,Census Tract 7
December-2019,8.01,1,801,Census Tract 8.01
December-2019,11.01,1,1101,Census Tract 11.01
December-2019,11.02,1,1102,Census Tract 11.02
December-2019,13.01,1,1301,Census Tract 13.01
December-2019,14.02,1,1402,Census Tract 14.02
December-2019,15.01,1,1501,Census Tract 15.01
December-2019,15.04,1,1504,Census Tract 15.04
December-2019,16.0,2,1600,Census Tract 16
December-2019,17.0,5,1700,Census Tract 17
December-2019,19.0,3,1900,Census Tract 19
December-2019,21.01,3,2101,Census Tract 21.01
December-2019,22.02,1,2202,Census Tract 22.02
December-2019,23.0,4,2300,Census Tract 23
December-2019,24.03,1,2403,Census Tract 24.03
December-2019,24.05,1,2405,Census Tract 24.05
December-2019,28.0,1,2800,Census Tract 28
December-2019,29.0,1,2900,Census Tract 29
December-2019,30.01,2,3001,Census Tract 30.01
December-2019,32.0,4,3200,Census Tract 32
December-2019,33.0,1,3300,Census Tract 33
December-2019,36.0,1,3600,Census Tract 36
December-2019,37.0,1,3700,Census Tract 37
December-2019,39.0,1,3900,Census Tract 39
December-2019,40.01,1,4001,Census Tract 40.01
December-2019,44.0,1,4400,Census Tract 44
December-2019,47.0,2,4700,Census Tract 47
December-2019,48.0,1,4800,Census Tract 48
December-2019,50.0,1,5000,Census Tract 50
December-2019,50.02,3,5002,Census Tract 50.02
December-2019,51.0,1,5100,Census Tract 51
December-2019,52.0,1,5200,Census Tract 52
December-2019,53.0,1,5300,Census Tract 53
December-2019,55.0,1,5500,Census Tract 55
December-2019,58.0,2,5800,Census Tract 58
December-2019,59.01,1,5901,Census Tract 59.01
December-2019,59.02,2,5902,Census Tract 59.02
December-2019,61.0,1,6100,Census Tract 61
December-2019,63.0,1,6300,Census Tract 63
December-2019,64.0,1,6400,Census Tract 64
December-2019,65.0,1,6500,Census Tract 65
December-2019,66.0,2,6600,Census Tract 66
December-2019,67.0,5,6700,Census Tract 67
December-2019,68.01,4,6801,Census Tract 68.01
December-2019,68.02,1,6802,Census Tract 68.02
December-2019,69.0,2,6900,Census Tract 69
December-2019,70.0,1,7000,Census Tract 70
December-2019,71.0,2,7100,Census Tract 71
December-2019,72.0,4,7200,Census Tract 72
December-2019,74.01,1,7401,Census Tract 74.01
December-2019,75.0,2,7500,Census Tract 75
