,TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTrack,CensusBlock,CountyName
0,ML19001225,40.754020000000004,-73.97419000000001,10017,M,01/21/2019 09:15 PM,92,1003,New York County
1,ML19003831,40.771679999999996,-73.97763,10023,M,03/07/2019 08:40 AM,143,1040,New York County
2,ML19004663,40.75472,-73.97591,10017,M,03/21/2019 07:38 PM,92,1005,New York County
3,ML19005447,40.80325,-73.96749,10025,M,04/04/2019 02:50 PM,195,1005,New York County
4,ML19006608,40.78175,-73.96025999999999,10028,P,04/27/2019 10:15 AM,143,1024,New York County
5,ML19007355,40.71182,-74.00827,10007,M,05/11/2019 12:06 AM,21,1011,New York County
6,ML19008617,40.75372,-73.97743,10017,M,06/04/2019 08:19 AM,94,1008,New York County
7,ML19008706,40.792190000000005,-73.94255,10029,M,06/05/2019 12:55 PM,170,1000,New York County
8,ML19009693,40.70516,-74.00999,10005,P,06/22/2019 08:01 PM,9,1000,New York County
9,ML19010411,40.73267,-73.9816,10003,M,07/09/2019 03:04 PM,48,5000,New York County
10,ML19010899,40.743120000000005,-74.00274,10011,M,07/19/2019 10:51 AM,89,2001,New York County
11,ML19011112,40.83157,-73.94299000000001,10032,M,07/24/2019 09:44 AM,237,3000,New York County
12,ML19011870,40.77721,-73.95226,10028,P,08/08/2019 11:30 AM,146.01,1000,New York County
13,ML19012341,40.78889,-73.97041999999999,10024,M,08/16/2019 05:27 PM,173,3000,New York County
14,ML19012851,40.75385,-73.9738,10017,M,08/26/2019 10:30 AM,92,1012,New York County
15,ML19013467,40.70516,-74.00999,10005,P,09/05/2019 07:40 PM,9,1000,New York County
16,ML19013839,40.76297,-73.97188,10022,P,09/09/2019 08:50 PM,112.02,1001,New York County
17,ML19013954,40.75658,-73.98614,10036,P,09/11/2019 06:13 PM,119,1004,New York County
18,ML19014071,40.741659999999996,-74.00113,10011,M,09/13/2019 05:52 PM,81,2001,New York County
19,ML19014455,40.7238,-73.98564,10009,M,09/19/2019 03:12 PM,32,4000,New York County
20,ML19015054,40.76061,-73.96434,10022,P,09/30/2019 06:05 PM,110,3002,New York County
21,ML19015932,40.76709,-73.96661999999999,10065,P,10/14/2019 07:09 PM,120,3000,New York County
22,ML19016313,40.76059,-73.96938,10022,P,10/20/2019 03:37 PM,112.03,2002,New York County
23,ML19016353,40.77316,-73.9819,10023,P,10/21/2019 11:06 AM,149,2000,New York County
24,ML19016580,40.76931,-73.96363000000001,10021,P,10/24/2019 10:59 AM,120,4001,New York County
25,ML19016698,40.7623,-73.97236,10022,P,10/25/2019 08:39 PM,112.02,1002,New York County
26,ML19016971,40.82015,-73.94951999999999,10031,M,10/30/2019 10:25 AM,217.03,1004,New York County
27,ML19017160,40.70933,-74.00187,10038,P,11/02/2019 10:05 AM,15.01,3002,New York County
28,ML19017533,40.73597,-73.99566999999999,10011,M,11/07/2019 12:54 PM,63,1000,New York County
29,ML19017625,40.751,-73.98778,10018,M,11/08/2019 02:36 PM,109,1007,New York County
