TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTract,CensusBlock,CountyName,Date,Time,Hour
ML19001225,40.75402,-73.97419,10017,M,01/21/2019 09:15 PM,92,1003,New York County,01/21/2019,09:15 PM,09 PM
ML19003831,40.77168,-73.97763,10023,M,03/07/2019 08:40 AM,143,1040,New York County,03/07/2019,08:40 AM,08 AM
ML19004663,40.75472,-73.97591,10017,M,03/21/2019 07:38 PM,92,1005,New York County,03/21/2019,07:38 PM,07 PM
ML19005447,40.80325,-73.96749,10025,M,04/04/2019 02:50 PM,195,1005,New York County,04/04/2019,02:50 
XL19016269,40.86115,-73.897,10458,M,12/16/2019 08:21 AM,237.02,1001,Bronx County,12/16/2019,08:21 AM,08 AM
XL19016314,40.89674,-73.84227,10466,M,12/16/2019 06:19 PM,448,1002,Bronx County,12/16/2019,06:19 PM,06 PM
ML19009535,40.77043,-73.96011,10021,M,06/19/2019 09:48 AM,126.01,1001,New York County,06/19/2019,09:48 AM,09 AM
ML19018792,40.75664,-73.98046,10036,P,11/27/2019 11:44 AM,96,1003,New York County,11/27/2019,11:44 AM,11 AM
ML19019780,40.76903,-73.9849,10019,M,12/17/2019 07:48 AM,145,4000,New York County,12/17/2019,07:48 AM,07 AM
ML19019789,40.74595,-73.99801,10011,M,12/17/2019 11:15 AM,91,3000,New York County,12/17/2019,11:15 AM,11 AM
WL19014408,41.02048,-73.78994,10530,M,12/02/2019 10:20 AM,108.04,1020,Westchester County,12/02/2019,10:20 AM,10 AM
WL19015068,40.94899,-73.83811,10708,M,12/17/2019 08:41 AM,22.02,3010,Westchester County,12/17/2019,08:41 AM,08 AM
WL19015106,40.94811,-73.77764,10804,P,12/17/2019 05:28 PM,67,1008,Westchester County,12/17/2019,05:28 PM,05 PM
XL19016295,40.90378,-73.89929,10471,P,12/16/2019 01:58 PM,345,2002,Bronx County,12/16/2019,01:58 PM,01 PM
ML19019847,40.74735,-73.99699,10001,P,12/18/2019 11:00 AM,95,2003,New York County,12/18/2019,11:00 AM,11 AM
ML19019861,40.72094,-73.9888,10002,P,12/18/2019 01:48 PM,30.01,2002,New York County,12/18/2019,01:48 PM,01 PM
WL19015124,40.98517,-73.83343,10710,M,12/18/2019 08:34 AM,21.01,2000,Westchester County,12/18/2019,08:34 AM,08 AM
WL19015125,41.25351,-73.93331,10548,P,12/18/2019 08:49 AM,146.04,1004,Westchester County,12/18/2019,08:49 AM,08 AM
WL19015218,40.96446,-73.87887,10703,P,12/20/2019 10:21 AM,8.01,1002,Westchester County,12/20/2019,10:21 AM,10 AM
QL20000433,40.75853,-73.94157,11101,M,01/14/2020 09:02 AM,85,1008,Queens County,01/14/2020,09:02 AM,09 AM
QL20000444,40.76564,-73.93915,11106,P,01/14/2020 11:21 AM,39,1000,Queens County,01/14/2020,11:21 AM,11 AM
WL20000581,40.95903,-73.83339,10710,P,01/14/2020 08:13 AM,21.04,1003,Westchester County,01/14/2020,08:13 AM,08 AM
