,Geoid,Winter_ReportCount_ConEd,Winter_ReportCount_NYFD,CountyName,CensusTract
0,36119014607,2.0,,Westchester County,146.07
1,36119014606,3.0,,Westchester County,146.06
2,36119014500,4.0,,Westchester County,145.0
3,36119013900,17.0,,Westchester County,139.0
4,36119013600,5.0,,Westchester County,136.0
5,36119013102,2.0,,Westchester County,131.02
6,36119013000,5.0,,Westchester County,130.0
7,36119012900,1.0,,Westchester County,129.0
8,36119012700,2.0,,Westchester County,127.0
9,36119012200,6.0,,Westchester County,122.0
10,36119012102,2.0,,Westchester County,121.02
11,36119011902,4.0,,Westchester County,119.02
12,36119011800,5.0,,Westchester County,118.0
13,36119011600,5.0,,Westchester County,116.0
14,36119011500,3.0,,Westchester County,115.0
15,36119011400,11.0,,Westchester County,114.0
16,36119011200,11.0,,Westchester County,112.0
17,36119011101,6.0,,Westchester County,111.01
18,36119011000,3.0,,Westchester County,110.0
19,36119010903,4.0,,Westchester County,109.03
20,36119010902,5.0,,Westchester County,109.02
21,36119010901,2.0,,Westchester County,109.01
22,36119010803,5.0,,Westchester County,108.03
23,36119010801,4.0,,Westchester County,108.01
24,36119010600,9.0,,Westchester County,106.0
25,36119009900,13.0,,Westchester County,99.0
26,36119009800,10.0,,Westchester County,98.0
27,36119009702,3.0,,Westchester County,97.02
28,36119009701,6.0,,Westchester County,97.01
29,36119009400,2.0,,Westchester County,94.0
30,36119009200,1.0,,Westchester County,92.0
31,36119008902,1.0,,Westchester County,89.02
32,36119008302,11.0,,Westchester County,83.02
33,36119008301,3.0,,Westchester County,83.01
34,36119008200,5.0,,Westchester County,82.0
35,36119007900,3.0,,Westchester County,79.0
36,36119007800,4.0,,Westchester County,78.0
37,36119007600,6.0,,Westchester County,76.0
38,36119007500,11.0,,Westchester County,75.0
39,36119007200,8.0,,Westchester County,72.0
40,36119006900,9.0,,Westchester County,69.0
41,36119006801,13.0,,Westchester County,68.01
42,36119006700,12.0,,Westchester County,67.0
43,36119005200,5.0,,Westchester County,52.0
44,36119005002,11.0,,Westchester County,50.02
45,36119004800,5.0,,Westchester County,48.0
46,36119002403,4.0,,Westchester County,24.03
47,36119002204,1.0,,Westchester County,22.04
48,36119002202,4.0,,Westchester County,22.02
49,36119002201,2.0,,Westchester County,22.01
50,36119002103,2.0,,Westchester County,21.03
51,36119002101,4.0,,Westchester County,21.01
52,36119002000,3.0,,Westchester County,20.0
53,36119001800,1.0,,Westchester County,18.0
54,36119001700,9.0,,Westchester County,17.0
55,36119001502,2.0,,Westchester County,15.02
56,36119001302,6.0,,Westchester County,13.02
57,36119001301,3.0,,Westchester County,13.01
58,36119001101,5.0,,Westchester County,11.01
59,36081162100,3.0,,Queens County,1621.0
60,36081152902,2.0,,Queens County,1529.02
61,36081142900,1.0,,Queens County,1429.0
62,36081140901,4.0,,Queens County,1409.01
63,36081139900,1.0,,Queens County,1399.0
64,36081134700,4.0,,Queens County,1347.0
65,36081134100,1.0,,Queens County,1341.0
66,36081133300,6.0,,Queens County,1333.0
67,36081127700,2.0,,Queens County,1277.0
68,36081122701,1.0,,Queens County,1227.01
69,36081117500,8.0,,Queens County,1175.0
70,36081117100,1.0,,Queens County,1171.0
71,36081114100,1.0,,Queens County,1141.0
72,36081109900,2.0,,Queens County,1099.0
73,36081103900,3.0,,Queens County,1039.0
74,36081101700,1.0,,Queens County,1017.0
75,36081099701,2.0,,Queens County,997.01
76,36081098700,1.0,,Queens County,987.0
77,36081086900,3.0,,Queens County,869.0
78,36081077904,4.0,,Queens County,779.04
79,36081011700,1.0,,Queens County,117.0
80,36081010300,2.0,,Queens County,103.0
81,36081008500,6.0,,Queens County,85.0
82,36081001900,2.0,,Queens County,19.0
83,36081000700,3.0,,Queens County,7.0
84,36061028700,1.0,,New York County,287.0
85,36061027100,1.0,,New York County,271.0
86,36061021400,1.0,,New York County,214.0
87,36061021200,2.0,,New York County,212.0
88,36061021100,1.0,,New York County,211.0
89,36061019800,1.0,,New York County,198.0
90,36061019600,1.0,,New York County,196.0
91,36061019500,1.0,,New York County,195.0
92,36061018000,1.0,,New York County,180.0
93,36061017000,3.0,,New York County,170.0
94,36061016700,4.0,,New York County,167.0
95,36061016400,1.0,,New York County,164.0
96,36061016300,3.0,,New York County,163.0
97,36061016100,2.0,,New York County,161.0
98,36061013700,1.0,,New York County,137.0
99,36061013500,2.0,,New York County,135.0
100,36061013300,2.0,,New York County,133.0
101,36061012700,1.0,,New York County,127.0
102,36061012600,2.0,,New York County,126.0
103,36061011401,2.0,,New York County,114.01
104,36061011300,1.0,,New York County,113.0
105,36061010900,5.0,,New York County,109.0
106,36061010800,1.0,,New York County,108.0
107,36061010400,2.0,,New York County,104.0
108,36061010200,3.0,,New York County,102.0
109,36061010000,2.0,,New York County,100.0
110,36061009700,1.0,,New York County,97.0
111,36061008400,1.0,,New York County,84.0
112,36061008100,1.0,,New York County,81.0
113,36061005502,2.0,,New York County,55.02
114,36061004700,4.0,,New York County,47.0
115,36061004100,1.0,,New York County,41.0
116,36061004000,2.0,,New York County,40.0
117,36061003900,2.0,,New York County,39.0
118,36061003300,3.0,,New York County,33.0
119,36061002900,2.0,,New York County,29.0
120,36061002202,1.0,,New York County,22.02
121,36061001800,3.0,,New York County,18.0
122,36061001501,8.0,,New York County,15.01
123,36061001300,1.0,,New York County,13.0
124,36061000800,2.0,,New York County,8.0
125,36061000600,4.0,,New York County,6.0
126,36005051600,12.0,,Bronx County,516.0
127,36005046202,2.0,,Bronx County,462.02
128,36005042902,1.0,,Bronx County,429.02
129,36005038600,2.0,,Bronx County,386.0
130,36005034800,1.0,,Bronx County,348.0
131,36005034500,3.0,,Bronx County,345.0
132,36005033400,1.0,,Bronx County,334.0
133,36005032300,1.0,,Bronx County,323.0
134,36005029700,2.0,,Bronx County,297.0
135,36005028800,1.0,,Bronx County,288.0
136,36005027402,1.0,,Bronx County,274.02
137,36005027401,1.0,,Bronx County,274.01
138,36005026601,1.0,,Bronx County,266.01
139,36005023000,1.0,,Bronx County,230.0
140,36005021502,1.0,,Bronx County,215.02
141,36005021002,1.0,,Bronx County,210.02
142,36005019400,2.0,,Bronx County,194.0
143,36005015200,1.0,,Bronx County,152.0
144,36005014100,1.0,,Bronx County,141.0
145,36005013800,3.0,,Bronx County,138.0
146,36005011800,2.0,,Bronx County,118.0
147,36005006500,2.0,,Bronx County,65.0
148,36005005400,1.0,,Bronx County,54.0
149,36005004600,1.0,,Bronx County,46.0
150,36005002800,2.0,,Bronx County,28.0
151,36119981000,1.0,,Westchester County,9810.0
152,36119014811,2.0,,Westchester County,148.11
153,36119014810,1.0,,Westchester County,148.1
154,36119014806,1.0,,Westchester County,148.06
155,36119014805,1.0,,Westchester County,148.05
156,36119014703,2.0,,Westchester County,147.03
157,36119014400,5.0,,Westchester County,144.0
158,36119014300,1.0,,Westchester County,143.0
159,36119014100,3.0,,Westchester County,141.0
160,36119014000,3.0,,Westchester County,140.0
161,36119013800,5.0,,Westchester County,138.0
162,36119013700,3.0,,Westchester County,137.0
163,36119013500,1.0,,Westchester County,135.0
164,36119013202,6.0,,Westchester County,132.02
165,36119013201,4.0,,Westchester County,132.01
166,36119013104,8.0,,Westchester County,131.04
167,36119012802,2.0,,Westchester County,128.02
168,36119012304,4.0,,Westchester County,123.04
169,36119012303,4.0,,Westchester County,123.03
170,36119012101,2.0,,Westchester County,121.01
171,36119012000,2.0,,Westchester County,120.0
172,36119011700,1.0,,Westchester County,117.0
173,36119011300,8.0,,Westchester County,113.0
174,36119011102,1.0,,Westchester County,111.02
175,36119010702,3.0,,Westchester County,107.02
176,36119010701,8.0,,Westchester County,107.01
177,36119010500,1.0,,Westchester County,105.0
178,36119010400,5.0,,Westchester County,104.0
179,36119010100,4.0,,Westchester County,101.0
180,36119010000,2.0,,Westchester County,100.0
181,36119009703,4.0,,Westchester County,97.03
182,36119009600,1.0,,Westchester County,96.0
183,36119009500,2.0,,Westchester County,95.0
184,36119008700,2.0,,Westchester County,87.0
185,36119008500,9.0,,Westchester County,85.0
186,36119008404,1.0,,Westchester County,84.04
187,36119008403,4.0,,Westchester County,84.03
188,36119008100,1.0,,Westchester County,81.0
189,36119008000,2.0,,Westchester County,80.0
190,36119007700,4.0,,Westchester County,77.0
191,36119007402,1.0,,Westchester County,74.02
192,36119007401,3.0,,Westchester County,74.01
193,36119007300,7.0,,Westchester County,73.0
194,36119007000,4.0,,Westchester County,70.0
195,36119006802,6.0,,Westchester County,68.02
196,36119006600,2.0,,Westchester County,66.0
197,36119006500,1.0,,Westchester County,65.0
198,36119006000,1.0,,Westchester County,60.0
199,36119005902,4.0,,Westchester County,59.02
200,36119005702,1.0,,Westchester County,57.02
201,36119005701,1.0,,Westchester County,57.01
202,36119005500,2.0,,Westchester County,55.0
203,36119005400,4.0,,Westchester County,54.0
204,36119005300,2.0,,Westchester County,53.0
205,36119005100,5.0,,Westchester County,51.0
206,36119005001,4.0,,Westchester County,50.01
207,36119004900,1.0,,Westchester County,49.0
208,36119004700,1.0,,Westchester County,47.0
209,36119004300,1.0,,Westchester County,43.0
210,36119003900,1.0,,Westchester County,39.0
211,36119003700,1.0,,Westchester County,37.0
