MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME
January-2020,7.0,1,700,Census Tract 7
January-2020,13.02,2,1302,Census Tract 13.02
January-2020,14.02,1,1402,Census Tract 14.02
January-2020,19.0,1,1900,Census Tract 19
January-2020,23.0,1,2300,Census Tract 23
January-2020,57.02,1,5702,Census Tract 57.02
January-2020,63.0,1,6300,Census Tract 63
January-2020,67.0,1,6700,Census Tract 67
January-2020,68.01,1,6801,Census Tract 68.01
January-2020,71.0,1,7100,Census Tract 71
January-2020,73.0,2,7300,Census Tract 73
January-2020,75.0,1,7500,Census Tract 75
January-2020,82.0,1,8200,Census Tract 82
January-2020,97.03,1,9703,Census Tract 97.03
January-2020,98.0,1,9800,Census Tract 98
January-2020,104.0,1,10400,Census Tract 104
January-2020,108.03,1,10803,Census Tract 108.03
January-2020,111.0,1,11100,Census Tract 111
January-2020,112.0,1,11200,Census Tract 112
January-2020,118.0,1,11800,Census Tract 118
January-2020,123.03,1,12303,Census Tract 123.03
January-2020,131.04,1,13104,Census Tract 131.04
January-2020,132.01,1,13201,Census Tract 132.01
January-2020,143.0,1,14300,Census Tract 143
January-2020,175.0,1,17500,Census Tract 175
January-2020,185.0,1,18500,Census Tract 185
January-2020,245.0,1,24500,Census Tract 245
January-2020,450.0,1,45000,Census Tract 450
January-2020,484.0,1,48400,Census Tract 484
January-2020,845.0,1,84500,Census Tract 845
January-2020,997.03,1,99703,Census Tract 997.03
