,tractid,tractnum,name,namelsad,nta,nta_name,bcode,geometry,MonthYear,TotalMonthlyReport,CountyName,CensusBlockID_list,Ticket_list,Classification_list,Zipcode_list,CountyTract
0,36081162100,162100,1621,Census Tract 1621,QN43,Bellerose,36081,"POLYGON ((1057110.244512561 204913.5764753937, 1057268.650232136 205417.9246546048, 1057292.213468616 205600.5262993961, 1057351.473114504 205709.6401935565, 1057375.924432859 205781.1230785329, 1057497.986615057 206294.1074996779, 1057649.07898047 206645.0521982167, 1057897.415447234 206548.1630435873, 1058188.910406587 206476.9111466371, 1058472.962105573 206393.2526653649, 1058718.454786758 206321.8665193368, 1058542.194667176 205686.294093822, 1058903.018248945 205696.1449247742, 1058910.072914115 205745.3515689534, 1059779.43873156 205765.5286511009, 1059858.290026288 205720.5967982837, 1060268.606308093 205590.7182354839, 1060820.424876659 205501.7334395775, 1060936.888982754 205483.1557203163, 1060899.896645342 205261.1600975532, 1060856.930292103 204999.7977413851, 1060852.60495704 204965.1724632024, 1060816.13062285 204666.3044059059, 1060631.407372285 203738.8598229787, 1060600.864562665 203667.7188677744, 1060555.135087537 203313.4436889536, 1060547.55613731 203255.4909712074, 1060442.348292981 203216.905661717, 1060289.241681907 203161.0471198255, 1060191.798623335 203121.0298877087, 1060076.956580172 203060.556076433, 1059974.290638492 203006.3144375427, 1059868.579774059 202950.6064214783, 1059837.036585904 202932.6559054454, 1059660.755450027 202840.6602810553, 1059601.246950042 202812.7862538261, 1059590.313562817 202852.4645796134, 1059542.655765906 203025.3747397739, 1059141.935168268 202907.1846574825, 1059115.902468316 202899.8177229176, 1059042.787894834 203149.5245579914, 1058968.848884847 203397.4074314879, 1058895.180703185 203647.8417098557, 1058821.237973596 203897.9110545956, 1058747.855560469 204146.5250315877, 1058671.383375912 204408.9744231746, 1058628.936875769 204421.9603302745, 1058329.586443749 204515.7716290959, 1058077.595572972 204622.1178958608, 1057831.608398461 204668.7343952069, 1057571.956516273 204743.3657363921, 1057330.606527926 204815.5046059011, 1057100.35968558 204882.5785272987, 1057110.244512561 204913.5764753937))",December-2019,2,Queens County,"[1001, 4005]","['QL19009338', 'QL19009224']","['P', 'P']","[11426, 11426]",Queens County-1621
1,36081157903,157903,1579,Census Tract 1579.03,QN44,Glen Oaks-Floral Park-New Hyde Park,36081,"POLYGON ((1063832.605915026 207684.3044049548, 1064082.067086405 207755.4398555111, 1064332.356980367 207826.9449436262, 1064582.367075677 207898.8160266993, 1064832.654031938 207970.326276896, 1065082.108148746 208041.8363411989, 1065331.560803012 208113.3489708076, 1065581.843361842 208184.8669511006, 1065841.815136 208258.9704190666, 1066100.952740263 208333.4381995228, 1066350.953665554 208404.9631810007, 1066600.398886794 208476.4888588511, 1066855.934287314 208549.4951656324, 1067113.147030343 208617.773556304, 1067248.734016705 208676.8945066338, 1067278.774005809 208725.4536297161, 1067301.990688847 208743.3854067469, 1067309.746197125 208744.5049436987, 1067296.770355925 208730.2515302695, 1067286.555692484 208718.9222392459, 1067275.340964273 208675.8924930458, 1067204.759928413 208407.8658792533, 1067044.030337436 208082.3314824636, 1066833.152486173 207751.8912166822, 1066782.394252175 207601.6131457739, 1066721.28252823 207480.4467027563, 1066672.007691855 207382.6379553609, 1066472.255883334 207036.9367203619, 1066415.326587714 206907.4055792789, 1066298.937424423 206658.5365066483, 1066118.946095614 206284.8514332499, 1066047.486447621 206107.1802042559, 1066044.737081555 206100.6129404776, 1066041.153820359 206094.7715342964, 1065934.471913819 205923.9043487828, 1065796.024560658 205638.1659436963, 1065601.045319339 205266.2562342967, 1065422.400327069 204898.0461007563, 1065297.810129705 204609.0780220797, 1065279.933138889 204567.4843763881, 1065028.248330738 204489.4070721152, 1064882.882128483 204445.2038896273, 1064785.685409203 204418.2849692483, 1064719.774387277 204401.6714373013, 1064641.138984018 204377.364954951, 1064498.250255082 204337.9086146536, 1064490.64635629 204374.3167872655, 1064473.646181057 204654.0684010658, 1064454.94610826 204945.1087658825, 1064457.534195188 205168.453528717, 1064376.442039859 205721.2435373329, 1064355.139378531 205793.6755512506, 1064212.472979906 206278.1328029728, 1064105.263468547 206516.7825663829, 1064064.512149817 206604.452886031, 1064043.021454267 206650.2882406425, 1063964.038168532 206818.3507705112, 1063925.525282888 206899.8350132147, 1063816.12213843 207133.0138914816, 1063707.575134857 207359.2737439604, 1063589.512490689 207614.6496690094, 1063832.605915026 207684.3044049548))",December-2019,1,Queens County,[3000],['QL19009566'],['P'],[11001],Queens County-1579.03
2,36081157101,157101,1571,Census Tract 1571.01,QN43,Bellerose,36081,"POLYGON ((1060664.846078629 210989.9258946723, 1061037.88554368 211142.3017062087, 1062119.718094613 211553.0736221839, 1062194.939278167 211339.8153883594, 1062237.73150047 211216.0793193767, 1062252.854645261 211166.2141729849, 1062298.509739327 211014.0693764749, 1062495.329902502 210472.2099750669, 1062556.621643558 210284.0470629479, 1062791.023934456 209606.7793089028, 1063010.628033504 208967.7209641618, 1063104.824781623 208718.8225975457, 1063198.419441914 208485.2246650386, 1063293.709463955 208242.1599573203, 1063406.445967139 208003.5245249117, 1063589.512490689 207614.6496690094, 1063707.575134857 207359.2737439604, 1063816.12213843 207133.0138914816, 1063925.525282888 206899.8350132147, 1063964.038168532 206818.3507705112, 1064043.021454267 206650.2882406425, 1064064.512149817 206604.452886031, 1064105.263468547 206516.7825663829, 1064212.472979906 206278.1328029728, 1064105.873148422 206247.1779282234, 1063987.643732159 206212.9063234612, 1063701.534287607 206156.5896349043, 1063432.817190293 206120.7357054228, 1063173.798246637 206085.2806126521, 1062915.33166809 206050.1944093159, 1062661.844762721 206017.6773758618, 1062398.110938754 205982.5796728373, 1062139.921657396 205946.7739595236, 1061704.987696169 205886.3604773571, 1061454.915058214 205912.1602483326, 1061105.246473343 205969.3440770327, 1061017.903481958 205982.1837225971, 1061042.740673015 206366.2693888267, 1061078.409345865 206917.9826960838, 1060988.370633529 207697.0068028711, 1060956.177428081 207799.2827262556, 1060786.591369323 208321.2015203947, 1060763.687170313 208378.3296629835, 1060652.647987635 208614.7966564028, 1060487.33078632 208840.163640149, 1060225.704724461 209114.4151547762, 1060086.413020293 209260.8059877473, 1059992.855255669 209315.5282377238, 1060234.819698409 209389.5154915471, 1060487.186899839 209503.614525659, 1060163.662008757 210256.4068076181, 1059967.738507631 210704.6539436974, 1060664.846078629 210989.9258946723))",December-2019,3,Queens County,"[6007, 7012, 7012]","['QL19009910', 'QL19009788', 'QL19009256']","['M', 'P', 'P']","[11426, 11001, 11001]",Queens County-1571.01
3,36081156700,156700,1567,Census Tract 1567,QN43,Bellerose,36081,"POLYGON ((1055993.693614481 208056.2662856877, 1056198.121288317 208367.6475269098, 1056438.725728106 208719.5790917247, 1056556.038924003 208874.7698923994, 1056686.950883539 209022.7151834699, 1056848.353274616 209167.4733641379, 1057509.823184171 209626.6991129244, 1057802.746231062 209803.1936769372, 1058058.78388163 209988.3236185247, 1058419.74590048 210294.7354152267, 1058593.870711669 210531.720613711, 1058776.545076675 210780.7563535352, 1059212.900925843 211520.9688887934, 1059235.754849389 211567.6742093273, 1059535.94321362 211712.8796688759, 1059637.63234563 211713.1953021548, 1059715.989488878 211820.9172918151, 1059806.755885599 212036.5209980917, 1059843.527159751 212240.2981508222, 1059886.617139403 212461.21876395, 1060088.022294934 212470.591264394, 1060956.418391397 212545.8227047529, 1061089.502200895 212168.0649818781, 1061859.792865207 212425.1853347384, 1062119.718094613 211553.0736221839, 1061037.88554368 211142.3017062087, 1060664.846078629 210989.9258946723, 1059967.738507631 210704.6539436974, 1060163.662008757 210256.4068076181, 1060487.186899839 209503.614525659, 1060234.819698409 209389.5154915471, 1059992.855255669 209315.5282377238, 1059760.018117939 209246.6724621974, 1060035.409722458 208111.5390620508, 1060152.323406734 207679.0763502505, 1059903.262121059 207386.8322823912, 1059928.835447211 207273.2400229758, 1059946.523155424 207200.0641917839, 1060083.836226897 206625.9393109306, 1059810.48340488 205853.4295108652, 1059858.290026288 205720.5967982837, 1059779.43873156 205765.5286511009, 1058910.072914115 205745.3515689534, 1058903.018248945 205696.1449247742, 1058542.194667176 205686.294093822, 1058718.454786758 206321.8665193368, 1058472.962105573 206393.2526653649, 1058188.910406587 206476.9111466371, 1057897.415447234 206548.1630435873, 1057649.07898047 206645.0521982167, 1057716.155063669 207008.8594890063, 1057763.355953156 207254.5628914221, 1057866.244496366 207596.6191770622, 1057881.777848602 207683.3775848536, 1058026.457298768 208589.5493361324, 1057683.73770068 208380.4758423755, 1057443.192720099 208289.3947169719, 1057192.889734454 208217.231988629, 1056939.261975035 208144.3332252874, 1056689.509168869 208072.5416808496, 1056441.138347398 208001.4854884011, 1056277.708414497 207976.2253679239, 1055868.441538139 207865.3502040963, 1055993.693614481 208056.2662856877))",December-2019,1,Queens County,[1000],['QL19009252'],['P'],[11004],Queens County-1567
4,36081155102,155102,1551,Census Tract 1551.02,QN44,Glen Oaks-Floral Park-New Hyde Park,36081,"POLYGON ((1059321.004123081 211687.4392206306, 1059442.010655648 211981.466870798, 1059624.198789398 212648.3987174395, 1059891.714710073 213048.1767251237, 1060260.821704743 213385.9745987346, 1060763.353196859 213846.2503890413, 1061017.331289899 214136.3338032675, 1061103.208099019 214314.765054902, 1061388.011826324 214927.7503115123, 1061495.91318436 215148.1515009222, 1061520.146242946 214933.271346695, 1061716.26733401 214855.5646900005, 1062446.5728894 214596.3147486836, 1062543.25179927 214771.8712999189, 1063119.958665711 214635.6559256349, 1063388.946618397 214559.657025073, 1063543.868272607 213950.9956083798, 1063746.654201746 213280.9195448233, 1063980.241421713 213527.9757637977, 1064090.405379322 213644.9249026972, 1065196.061925164 214921.572043365, 1065402.513421815 214740.8229163456, 1065609.245040075 214560.0764875056, 1065624.806239459 214546.2839478638, 1065736.786359213 214448.6536931665, 1065864.32884825 214337.2315740913, 1066362.798612072 213995.7098843907, 1066458.025056781 213938.1030756411, 1066553.530246773 213880.1332511375, 1066581.848187776 213863.1055797588, 1066609.889110785 213846.0770013204, 1066764.662400131 213713.6206410728, 1066885.347737123 213584.3281902847, 1066778.771479917 213475.3938811813, 1066584.417130984 213350.8600621063, 1066499.326069241 213278.4333338324, 1066308.257775235 213164.4785790711, 1066254.511985444 213162.8395848309, 1066088.094442261 213050.7915496501, 1066004.269597573 213012.9826050547, 1065866.287468936 212930.9073187526, 1065812.38160513 212894.2926736731, 1065651.763985906 212786.6391581338, 1065403.860923619 212597.8124981548, 1065181.992899165 212410.8968685956, 1064964.345447701 212203.5946142079, 1064731.303924708 212041.7850564083, 1064521.493063836 211892.4419341416, 1064295.638917069 211733.9393764451, 1064069.213275798 211579.8090688215, 1063654.549677592 211284.4314337478, 1063394.67713147 211102.8730318757, 1063168.807095364 210944.7453382561, 1062982.707830308 210826.0967950853, 1062725.626921461 210635.0819965052, 1062495.329902502 210472.2099750669, 1062298.509739327 211014.0693764749, 1062252.854645261 211166.2141729849, 1062237.73150047 211216.0793193767, 1062194.939278167 211339.8153883594, 1062119.718094613 211553.0736221839, 1061859.792865207 212425.1853347384, 1061089.502200895 212168.0649818781, 1060956.418391397 212545.8227047529, 1060088.022294934 212470.591264394, 1059886.617139403 212461.21876395, 1059843.527159751 212240.2981508222, 1059806.755885599 212036.5209980917, 1059715.989488878 211820.9172918151, 1059637.63234563 211713.1953021548, 1059535.94321362 211712.8796688759, 1059235.754849389 211567.6742093273, 1059321.004123081 211687.4392206306))",December-2019,4,Queens County,"[4002, 4002, 4002, 4004]","['QL19009955', 'QL19009777', 'QL19009781', 'QL19009199']","['M', 'M', 'M', 'M']","[11004, 11004, 11004, 11004]",Queens County-1551.02
5,36081150702,150702,1507,Census Tract 1507.02,QN45,Douglas Manor-Douglaston-Little Neck,36081,"POLYGON ((1056950.625672514 219335.2508044849, 1057078.99862025 219478.8193743742, 1057113.224365978 219519.3632982655, 1057237.289263069 219713.198001285, 1057294.351055148 219804.8177779237, 1057386.137278148 219954.8359269782, 1057514.858104438 220164.7168708746, 1057696.539104804 220446.8971155958, 1057815.644269668 220629.0611425795, 1057992.886493483 220820.1464462763, 1058190.383088664 220635.3009529273, 1058477.375855476 220441.6223258481, 1058722.861289104 220236.1609358732, 1058956.892321888 220063.821250982, 1059150.678959976 219918.6846847821, 1059394.735136876 219731.07810611, 1059623.343477897 219524.1162388558, 1059978.213714448 219245.4119448298, 1060256.438292629 219030.9599220702, 1060765.071358232 218573.1321733958, 1060933.066236484 218444.6879490016, 1061124.104082736 218300.6514810475, 1061147.141838751 218286.1510832171, 1061552.09946846 218034.9537298562, 1061581.319036551 217993.1483249612, 1061632.523646345 217919.7159252722, 1061267.833962507 217876.2928302729, 1060704.71691366 217771.4053059815, 1060520.669351867 217717.9975764228, 1059965.80283025 217541.3792245184, 1059118.112550706 216917.5584892282, 1058929.586712797 216785.8171324255, 1058783.629025491 216684.0833921483, 1058548.105385016 216519.4106138113, 1058455.889469368 216598.5533683287, 1058264.947073582 216893.8098508797, 1058124.386100028 217111.6179217353, 1057982.437015154 217331.2442734346, 1057841.04120629 217551.9661490188, 1057690.800086185 217767.1970687293, 1057583.345664063 217941.3883832204, 1057541.486992321 218042.9112861203, 1057478.193448654 218179.3456973937, 1057434.12505899 218279.0404508213, 1057368.580453686 218427.4914138168, 1057331.463305271 218518.8276099354, 1057234.356751203 218754.2599122972, 1057138.649102738 218985.6891398309, 1056950.625672514 219335.2508044849))",December-2019,1,Queens County,[2008],['QL19009647'],['P'],[11362],Queens County-1507.02
6,36081146300,146300,1463,Census Tract 1463,QN46,Bayside-Bayside Hills,36081,"POLYGON ((1044022.974750382 216939.8039702113, 1044342.563902386 216978.8483528954, 1044576.555095796 217016.5909965596, 1044829.146910996 217037.987297086, 1045082.52368368 217077.6048963979, 1045109.120427623 217076.5785837001, 1045374.995304394 217103.1145628278, 1045463.072221747 217109.5302609293, 1045603.543532453 216772.5117219712, 1045668.764662185 216615.6487655787, 1045843.70511451 216016.398524181, 1045968.349622847 215588.9872610229, 1045844.841597907 215568.6351065401, 1045914.828768476 215282.4464778547, 1045472.510053329 215125.3917372405, 1045044.029661475 214971.6587479296, 1044513.126156335 214781.6097634974, 1044419.711074576 215025.1172006912, 1044323.2585163 215265.3384939334, 1044259.149765981 215422.5720531874, 1044242.149467272 215463.3354000367, 1044062.133254673 215888.4328930036, 1044012.180713725 216035.86501797, 1043958.335997767 216189.1170175674, 1043763.843445534 216760.2791029431, 1043734.11357889 216909.2187839176, 1044022.974750382 216939.8039702113))",December-2019,2,Queens County,"[1003, 1005]","['QL19009784', 'QL19009785']","['P', 'P']","[11361, 11361]",Queens County-1463
7,36081145900,145900,1459,Census Tract 1459,QN48,Auburndale,36081,"POLYGON ((1041062.076354356 215429.4503412259, 1041313.404453278 215407.4513259598, 1041589.041962012 215415.3876958143, 1041855.259946401 215423.3048356519, 1042089.892637986 215432.242596665, 1042341.146662587 215441.5867418299, 1042586.858835431 215451.2844999607, 1042604.41703737 215177.3478004757, 1042626.350510649 214927.467684702, 1042646.906195342 214674.6696286974, 1042666.632895974 214421.140952067, 1042687.733861843 214172.3519606339, 1042708.597682142 213907.1674341007, 1042726.965770127 213643.0699391021, 1042648.972396161 213355.4230897267, 1042802.253965553 213098.9373802033, 1042561.41725284 213010.5532204106, 1042318.084303889 212922.5298185336, 1042063.40190284 212829.3811600103, 1041834.144064188 212763.256152174, 1041125.04477809 212794.374100192, 1041127.190470852 212824.6187879265, 1041136.629543925 213053.07786751, 1041143.501402141 213312.8636189357, 1041150.648452674 213573.3787112616, 1041164.043781595 213886.7368278075, 1041115.181187103 214638.9708767157, 1041062.076354356 215429.4503412259))",December-2019,1,Queens County,[3002],['QL19009882'],['M'],[11358],Queens County-1459
8,36081144100,144100,1441,Census Tract 1441,QN46,Bayside-Bayside Hills,36081,"POLYGON ((1048446.397020873 215616.5473820932, 1048810.988909771 215717.7064261095, 1049060.967890868 215787.5962058043, 1049312.054553844 215857.127201981, 1049563.139783887 215926.6607979491, 1049813.668530233 215996.5598281176, 1050074.433191097 216071.2255557387, 1050186.072971286 215563.2826699832, 1050250.607217185 215263.611241665, 1050226.705264919 214985.9237983116, 1050207.771787391 214714.8079232242, 1050341.922017585 214490.0145692049, 1050520.669307781 214269.3513806673, 1050608.923325827 214011.6442051163, 1050691.04900118 213766.6722749916, 1050940.945668756 213468.6040231674, 1050843.78085765 213437.7331880194, 1050597.12540576 213361.2762402347, 1050334.22776655 213245.7938733758, 1049981.325196936 213318.4309291524, 1049673.232345283 213419.6118875232, 1049470.887517037 213555.3280674483, 1049193.776108325 213780.4718362393, 1049478.029259557 213887.6195864466, 1049228.112941353 214201.3691897259, 1049126.611877831 214445.5655987358, 1049037.824961863 214701.8194049538, 1048761.424042959 214666.1070510028, 1048615.590141156 215123.6874506204, 1048536.82022699 215366.4893544003, 1048446.397020873 215616.5473820932))",December-2019,1,Queens County,[4001],['QL19009181'],['M'],[11364],Queens County-1441
9,36081141700,141700,1417,Census Tract 1417,QN48,Auburndale,36081,"POLYGON ((1040649.359562068 212536.0448059458, 1040773.858158213 212615.3947338985, 1040865.432946107 212673.9014885532, 1041127.190470852 212824.6187879265, 1041125.04477809 212794.374100192, 1041834.144064188 212763.256152174, 1042063.40190284 212829.3811600103, 1042318.084303889 212922.5298185336, 1042561.41725284 213010.5532204106, 1042802.253965553 213098.9373802033, 1043032.886964355 212480.4925848575, 1043267.485185854 211831.4557573397, 1043448.52884882 211332.3958966459, 1043204.351863929 211243.9973084443, 1042959.620690444 211154.8711773433, 1042714.664165997 211043.5226622386, 1042880.39511849 210572.1111597018, 1043029.343422211 210511.2634560824, 1043221.005169145 210434.1254166525, 1043385.858404175 209987.4899499519, 1043579.196287846 209453.4853831556, 1043335.59762571 209347.5990212326, 1043367.714504209 209245.2996943028, 1043260.024888478 209201.3177258042, 1043003.672509116 209096.4967123877, 1042909.546881323 209058.0141302462, 1042755.034062271 209009.5493117053, 1041882.498945287 208734.5768409729, 1041626.091796072 208648.3512564802, 1040696.580614363 208314.6293616433, 1040666.922142701 208436.6118366129, 1040429.443305362 209149.0600770878, 1040583.664929827 209682.8006313707, 1040855.518336189 210034.285566535, 1041183.418264754 210587.7454437507, 1041186.38504972 211094.9038934911, 1041142.038722491 211572.8048522913, 1041128.685374788 211713.7704581137, 1040778.770239823 212052.8757651708, 1040612.700966373 212214.6177951945, 1040414.482298106 212381.022880828, 1040649.359562068 212536.0448059458))",December-2019,1,Queens County,[2004],['QL19009212'],['P'],[11358],Queens County-1417
