,tractid,tractnum,name,namelsad,nta,nta_name,bcode,geometry,MonthYear,TotalMonthlyReport,CountyName,CensusBlockID_list,Ticket_list,Classification_list,Zipcode_list,CountyTract
0,36005000100,100,1,Census Tract 1,BX98,Rikers Island,36005,"POLYGON ((1019965.736897038 226696.3341189641, 1019943.935444364 226645.6595021843, 1019901.880616092 226244.465169024, 1019974.762117877 226020.8709297704, 1019646.763298513 225917.6477316347, 1019228.619372216 225721.3935094726, 1017767.787780521 225567.4035371438, 1017165.872357635 225684.2593608124, 1016675.036917391 225779.7826079502, 1016132.685226243 225885.0850526571, 1015505.85117002 226011.0576862038, 1014733.604900858 226166.3744404654, 1014547.374183576 227166.9682925997, 1014098.95851714 227252.0309910672, 1013915.841175897 227319.9369301423, 1014598.086284152 230013.2160070953, 1014983.577325988 229947.7567743882, 1015139.606155326 230048.5114931267, 1015287.887343963 230144.5209482627, 1016410.0561886 229095.9692201593, 1017851.753454852 228724.1159605096, 1018719.970713611 228213.4436700256, 1019068.938184445 227964.3726919098, 1019951.58333143 226717.444697246, 1019965.736897038 226696.3341189641))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
1,36005000200,200,2,Census Tract 2,BX09,Soundview-Castle Hill-Clason Point-Harding Park,36005,"POLYGON ((1021558.246854801 236060.6961875496, 1021824.736419886 236108.1070655613, 1022080.986075652 236153.6832149593, 1022336.957969458 236199.2616385602, 1022592.099074869 236244.4771167726, 1022848.898301946 236290.7909305749, 1023080.514662802 236332.6950883289, 1023125.446974412 236276.2949565429, 1023450.516484479 235869.8546784931, 1023504.326029933 235802.539523398, 1023634.414857348 235638.7991637191, 1023790.854751345 235443.040881356, 1024074.875719093 234930.1560362805, 1024217.921119968 234636.3721550308, 1024268.469350549 234367.5755110506, 1024303.397853014 234170.527390365, 1024339.456515828 233960.0007735492, 1024369.347166904 233796.8276965119, 1024415.716730198 233545.8770004956, 1024444.444895268 233416.5853563116, 1024491.868885189 233198.4268201268, 1024553.30583627 232877.9133175461, 1024153.613512445 232837.5397371266, 1023992.487302777 232840.1898294028, 1023995.592862932 232803.3970049842, 1023998.422187739 232766.2393929932, 1023994.07332861 232717.0469362876, 1024027.536815202 231725.3800598927, 1023820.942222979 232271.9098895486, 1023614.08065497 232818.0768261623, 1023563.618778481 232865.3586185021, 1023511.978954193 232956.3589041201, 1023487.778956084 233027.3652164488, 1023484.322494839 233110.4281888408, 1023483.981406804 233150.1402414214, 1023483.36407219 233189.4875119449, 1023376.668399956 233259.6319436893, 1023373.558478371 233814.5104762761, 1023225.189209106 234668.2751232672, 1022629.116631039 234717.2384137559, 1022682.09851425 234822.9797869968, 1022558.227205471 234907.3097467504, 1022191.882483955 235157.3969890402, 1022083.800916786 235236.6533857548, 1021042.886162816 236027.8471122624, 1021558.246854801 236060.6961875496))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
2,36005000400,400,4,Census Tract 4,BX09,Soundview-Castle Hill-Clason Point-Harding Park,36005,"MULTIPOLYGON (((1023113.722613043 236337.8490007798, 1023361.110998128 236382.6958169441, 1023616.523896296 236428.6511956214, 1023892.414818337 236477.1930937971, 1024242.740093012 236540.069911154, 1024172.281803122 236463.8074952314, 1024291.26096763 235988.1804233536, 1024760.536251304 235768.9007868832, 1024940.196535598 235761.9148861781, 1025388.100837738 235745.1825155314, 1026125.627528728 235201.3979562987, 1025768.490260129 234420.0114581333, 1025702.300645781 234274.8924635511, 1025694.97886217 233861.7228948089, 1025964.878799863 233706.2498824906, 1026332.878381588 233494.8421848432, 1026415.707971621 232984.9157920901, 1026618.874413712 232529.1214318619, 1026747.124118443 232173.0254474409, 1026185.253253272 232095.9011810567, 1026033.83922075 232082.5237427571, 1025902.909399042 232070.6397671377, 1024772.619214894 231850.8520431998, 1024027.536815202 231725.3800598927, 1023994.07332861 232717.0469362876, 1023998.422187739 232766.2393929932, 1023995.592862932 232803.3970049842, 1023992.487302777 232840.1898294028, 1024153.613512445 232837.5397371266, 1024553.30583627 232877.9133175461, 1024491.868885189 233198.4268201268, 1024444.444895268 233416.5853563116, 1024415.716730198 233545.8770004956, 1024369.347166904 233796.8276965119, 1024339.456515828 233960.0007735492, 1024303.397853014 234170.527390365, 1024268.469350549 234367.5755110506, 1024217.921119968 234636.3721550308, 1024074.875719093 234930.1560362805, 1023790.854751345 235443.040881356, 1023634.414857348 235638.7991637191, 1023504.326029933 235802.539523398, 1023450.516484479 235869.8546784931, 1023125.446974412 236276.2949565429, 1023080.514662802 236332.6950883289, 1023113.722613043 236337.8490007798)), ((1024242.740093012 236540.069911154, 1024463.836373218 236580.1482636973, 1024767.671930828 236633.8472027057, 1025318.611812254 236731.6876085556, 1025453.793551274 236018.5462935243, 1024890.402499553 235908.2945668362, 1024826.145731593 235930.7758039899, 1024408.479649477 236076.9080017095, 1024286.826282872 236494.6006185017, 1024242.740093012 236540.069911154)), ((1025453.793551274 236018.5462935243, 1025521.919738672 235999.7166674564, 1025738.887983819 236027.4121702757, 1026020.592147849 236075.9882217766, 1026293.158148494 236126.0090478576, 1026585.92772815 236177.1612174562, 1026703.89501443 235516.8256914903, 1026851.946309818 235541.13155195, 1026750.020197655 235259.3207519753, 1026799.224573747 234982.875848402, 1026857.088020305 234505.3327390366, 1026585.799366066 234506.6792618832, 1026541.530285726 234811.1870292386, 1026503.186500993 234893.0958237725, 1026331.624407802 235334.0086341986, 1025731.596819628 235758.8838254776, 1025604.111222792 235849.0214680946, 1025453.793551274 236018.5462935243)))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
3,36005001600,1600,16,Census Tract 16,BX09,Soundview-Castle Hill-Clason Point-Harding Park,36005,"POLYGON ((1022690.147961642 238650.3462913418, 1022944.9846712 238696.2937651945, 1023202.588154227 238742.2483652112, 1023478.730919832 238790.4217155478, 1023428.186963224 239067.6002640165, 1024295.055258057 239221.3093926256, 1024344.221944752 238945.9520227437, 1024391.452317531 238670.5915792055, 1024435.852569924 238433.4819232018, 1024483.622198964 238167.9597036024, 1024621.879269341 237416.9274458197, 1024675.767832636 237136.1137763316, 1024721.00461829 236898.6418559739, 1024767.671930828 236633.8472027057, 1024463.836373218 236580.1482636973, 1024242.740093012 236540.069911154, 1023892.414818337 236477.1930937971, 1023616.523896296 236428.6511956214, 1023361.110998128 236382.6958169441, 1023113.722613043 236337.8490007798, 1023080.514662802 236332.6950883289, 1022848.898301946 236290.7909305749, 1022592.099074869 236244.4771167726, 1022452.489104362 237011.5491331732, 1022425.695519758 237152.1407966424, 1022317.866580993 237780.8160539815, 1022576.030511186 237829.3151965569, 1022436.969793163 238605.1327841724, 1022690.147961642 238650.3462913418))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
4,36005001900,1900,19,Census Tract 19,BX39,Mott Haven-Port Morris,36005,"MULTIPOLYGON (((1003183.625868493 233654.4443848743, 1003368.471836349 233752.9600124106, 1003598.059755028 233980.4875104486, 1003764.023972695 234145.3001960569, 1003788.917177714 234171.5524065729, 1003843.95750979 234230.9835272722, 1004027.646435679 234042.4067920869, 1004287.433171785 233893.9711373506, 1004342.27125297 233862.6836513406, 1004590.429440955 233720.7996593851, 1005206.9613002 233366.8261499923, 1005666.73569404 233108.5496385711, 1005996.332829302 232930.318580965, 1006227.052056727 232807.3811901733, 1006724.510900186 232536.0428839767, 1007141.093610019 232315.2809458883, 1007541.89544142 232102.8907294459, 1007623.673798098 231991.1184605052, 1007777.249540009 232069.9633983994, 1007940.235007895 232151.0045149627, 1008203.367779293 232303.555177521, 1008350.288472687 232389.3195591439, 1008496.113131798 232462.6963348907, 1008777.225009371 232624.0152848601, 1009036.749189727 232775.8427115205, 1009250.33910871 232903.9437228439, 1009407.209982608 232998.1045146621, 1009596.44950667 233111.6099203036, 1010196.254205777 233467.1071122908, 1010559.863684601 233860.9813823484, 1011081.419842422 234353.0417573086, 1011097.864577611 234251.7746180673, 1011105.434878762 234165.0710939183, 1011144.252680093 233859.4364521603, 1011260.201322542 233152.3898608809, 1011298.945455222 232915.9792687912, 1011410.613828296 232578.000724618, 1011243.35441632 232370.1427564948, 1011025.651060081 232462.442616915, 1010577.325168865 231801.4116774559, 1010434.833399504 231463.882902355, 1010447.726624032 231317.7983790544, 1010190.246846769 231318.9789498978, 1010133.485450478 231064.6123032873, 1009777.222641261 230483.4844306205, 1009575.174185781 230420.9713019769, 1009200.428479579 230020.9073056087, 1008778.679312948 229543.5625864395, 1008165.6342648 229579.3838366486, 1008115.7621408 229613.9465323398, 1007561.519998893 229831.6441371033, 1007437.632055389 229961.9573066462, 1007422.665903163 229977.6094081685, 1006785.450718817 230413.8466658082, 1006777.966805601 230422.9480898133, 1006147.684869269 231178.7305420188, 1006011.077871798 231306.8535695741, 1005760.035387637 231541.9901618173, 1005626.590921351 231541.8721709076, 1004975.704626158 231539.4855096783, 1004403.998672494 231537.5463247464, 1004128.020974093 232154.8668216961, 1004093.923860246 232209.4891948266, 1003663.165809337 232878.7889552204, 1003569.200787044 233024.4480894062, 1003516.259156271 233106.7457829953, 1003353.529155419 233393.7134017783, 1003162.871453055 233644.226793992, 1003183.625868493 233654.4443848743)), ((1012059.55967395 229419.2209717663, 1012454.110883038 229660.1376874508, 1012678.020536681 229259.6305875844, 1012295.0685782 229280.3161843398, 1012059.55967395 229419.2209717663)), ((1011925.5862297 231085.536587299, 1012077.5862347 231082.7958371664, 1012105.116499791 231459.5501306666, 1012397.828734576 231634.0403909068, 1012914.307469041 231043.6934641011, 1012494.535464296 230610.735046974, 1012313.400044662 230427.2641823494, 1012207.052735611 230453.0091557668, 1011878.64889889 230486.1516524448, 1011995.66144013 230575.9116862065, 1012015.058197799 231045.5619757066, 1011925.5862297 231085.536587299)))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
5,36005002000,2000,20,Census Tract 20,BX09,Soundview-Castle Hill-Clason Point-Harding Park,36005,"POLYGON ((1020092.747630042 238184.3884127718, 1020541.010009227 238265.937965163, 1020625.406825902 238279.9092311249, 1020879.973430686 238326.5632480812, 1021145.609060785 238373.9654557476, 1021408.474209066 238422.4593400001, 1021750.950547843 237998.5345012639, 1021805.955174715 237689.6622484268, 1021974.469960283 237720.5281280077, 1022061.358355139 237734.8726007577, 1022317.866580993 237780.8160539815, 1022425.695519758 237152.1407966424, 1022452.489104362 237011.5491331732, 1022592.099074869 236244.4771167726, 1022336.957969458 236199.2616385602, 1022080.986075652 236153.6832149593, 1021824.736419886 236108.1070655613, 1021558.246854801 236060.6961875496, 1021042.886162816 236027.8471122624, 1020359.665541115 236629.4322030866, 1020326.116977658 236853.0847723467, 1020241.128115258 237420.9589088606, 1020092.747630042 238184.3884127718))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
6,36005002300,2300,23,Census Tract 23,BX39,Mott Haven-Port Morris,36005,"POLYGON ((1003958.187054441 234353.1285414048, 1004144.018516707 234252.3593091069, 1004244.083095116 234429.5087426795, 1004271.727168026 234475.8021839201, 1004424.316620491 234736.0643515858, 1004645.883280037 234603.9958345322, 1004696.013339269 234573.7981872083, 1004972.421865122 234408.9887520339, 1005597.237339297 234065.5978812627, 1005462.083774078 233819.9170727308, 1005334.385789403 233592.8246412546, 1005206.9613002 233366.8261499923, 1004590.429440955 233720.7996593851, 1004342.27125297 233862.6836513406, 1004287.433171785 233893.9711373506, 1004027.646435679 234042.4067920869, 1003843.95750979 234230.9835272722, 1003958.187054441 234353.1285414048))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
7,36005002400,2400,24,Census Tract 24,BX99,park-cemetery-etc-Bronx,36005,"POLYGON ((1017313.43520778 237489.657019409, 1017528.142810921 237749.7226272418, 1018060.833267527 237836.8073606713, 1018536.238736259 237914.7143178855, 1018669.059399432 237939.6773891697, 1019385.455504982 238074.7808172892, 1019548.434521117 238105.9861547294, 1019402.541876072 238889.462220465, 1019310.501810585 239568.4525921258, 1019281.876126937 239650.751324612, 1019234.251306062 239665.6203624247, 1019394.950257378 239735.0767799937, 1019539.385657179 239758.9684850521, 1019688.517733088 239788.3329686131, 1019801.128715995 239809.629377541, 1019830.829339399 239750.2860469849, 1019850.0837449 239642.8349541282, 1019952.901063087 238985.3583198739, 1020092.747630042 238184.3884127718, 1020241.128115258 237420.9589088606, 1020326.116977658 236853.0847723467, 1020359.665541115 236629.4322030866, 1021042.886162816 236027.8471122624, 1022083.800916786 235236.6533857548, 1022191.882483955 235157.3969890402, 1022558.227205471 234907.3097467504, 1022682.09851425 234822.9797869968, 1022629.116631039 234717.2384137559, 1022316.067526899 234518.9104952613, 1020939.514007334 234646.1279165482, 1020285.662418359 235577.8477516366, 1019930.580447414 236097.5947092561, 1018433.058685856 236694.0417380187, 1018302.61467546 236745.5939408271, 1018153.891493273 236805.136677737, 1017930.263845411 236987.3575007822, 1017313.43520778 237489.657019409))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
8,36005002500,2500,25,Census Tract 25,BX39,Mott Haven-Port Morris,36005,"POLYGON ((1005334.385789403 233592.8246412546, 1005462.083774078 233819.9170727308, 1005597.237339297 234065.5978812627, 1006383.82452928 233629.4646894142, 1006611.49760837 233502.5204512426, 1007094.824080743 233235.1843305916, 1006960.799653847 232977.4732426037, 1006724.510900186 232536.0428839767, 1006227.052056727 232807.3811901733, 1005996.332829302 232930.318580965, 1005666.73569404 233108.5496385711, 1005206.9613002 233366.8261499923, 1005334.385789403 233592.8246412546))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
9,36005002701,2701,27,Census Tract 27.01,BX39,Mott Haven-Port Morris,36005,"POLYGON ((1006724.510900186 232536.0428839767, 1006960.799653847 232977.4732426037, 1007094.824080743 233235.1843305916, 1007921.352721504 232776.1856463219, 1007782.621805977 232525.0235065941, 1008203.367779293 232303.555177521, 1007940.235007895 232151.0045149627, 1007777.249540009 232069.9633983994, 1007623.673798098 231991.1184605052, 1007541.89544142 232102.8907294459, 1007141.093610019 232315.2809458883, 1006724.510900186 232536.0428839767))",<class 'str'>,<class 'int'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>,<class 'str'>
