tiketnumber,longitude,latitude,zip,classification,datereported
ML19001225,40.75402,-73.97419,10017,M,\/Date(1548123352000)\/
ML19003831,40.77168,-73.97763,10023,M,\/Date(1551966025000)\/
ML19004663,40.75472,-73.97591,10017,M,\/Date(1553211480000)\/
ML19005447,40.80325,-73.96749,10025,M,\/Date(1554403835000)\/
ML19006608,40.78175,-73.96026,10028,P,\/Date(1556374519000)\/
ML19007355,40.71182,-74.00827,10007,M,\/Date(1557547564000)\/
ML19008617,40.75372,-73.97743,10017,M,\/Date(1559650786000)\/
ML19008706,40.79219,-73.94255,10029,M,\/Date(1559753733000)\/
ML19009693,40.70516,-74.00999,10005,P,\/Date(1561248083000)\/
ML19010411,40.73267,-73.9816,10003,M,\/Date(1562699052000)\/
ML19010899,40.74312,-74.00274,10011,M,\/Date(1563547912000)\/
ML19011112,40.83157,-73.94299,10032,M,\/Date(1563975878000)\/
ML19011870,40.77721,-73.95226,10028,P,\/Date(1565278228000)\/
ML19012341,40.78889,-73.97042,10024,M,\/Date(1565990825000)\/
ML19012851,40.75385,-73.9738,10017,M,\/Date(1566829806000)\/
ML19013467,40.70516,-74.00999,10005,P,\/Date(1567726846000)\/
ML19013839,40.76297,-73.97188,10022,P,\/Date(1568076616000)\/
ML19013954,40.75658,-73.98614,10036,P,\/Date(1568240003000)\/
ML19014071,40.74166,-74.00113,10011,M,\/Date(1568411569000)\/
ML19014455,40.7238,-73.98564,10009,M,\/Date(1568920352000)\/
ML19015054,40.76061,-73.96434,10022,P,\/Date(1569881101000)\/
ML19015932,40.76709,-73.96662,10065,P,\/Date(1571094590000)\/
ML19016313,40.76059,-73.96938,10022,P,\/Date(1571600264000)\/
ML19016353,40.77316,-73.9819,10023,P,\/Date(1571670380000)\/
ML19016580,40.76931,-73.96363,10021,P,\/Date(1571929155000)\/
ML19016698,40.7623,-73.97236,10022,P,\/Date(1572050342000)\/
ML19016971,40.82015,-73.94952,10031,M,\/Date(1572445548000)\/
ML19017160,40.70933,-74.00187,10038,P,\/Date(1572703500000)\/
ML19017533,40.73597,-73.99567,10011,M,\/Date(1573149250000)\/
ML19017625,40.751,-73.98778,10018,M,\/Date(1573241812000)\/
ML19017662,40.71472,-73.99198,10002,M,\/Date(1573310405000)\/
ML19017863,40.74612,-73.97993,10016,P,\/Date(1573608477000)\/
ML19018126,40.84209,-73.92623,10452,M,\/Date(1573967503000)\/
ML19018255,40.78684,-73.94526,10029,M,\/Date(1574174432000)\/
ML19018685,40.77099,-73.96762,10021,M,\/Date(1574737285000)\/
ML19018711,40.73424,-73.99975,10014,M,\/Date(1574782721000)\/
ML19018928,40.75118,-73.98775,10018,M,\/Date(1575149368000)\/
ML19018965,40.79983,-73.94612,10029,M,\/Date(1575222405000)\/
ML19019045,40.78267,-73.98324,10023,P,\/Date(1575378807000)\/
ML19019101,40.76531,-73.96384,10065,M,\/Date(1575464542000)\/
ML19019205,40.82821,-73.94676,10031,M,\/Date(1575604546000)\/
ML19019215,40.77053,-73.96844,10065,M,\/Date(1575647363000)\/
ML19019260,40.7659,-73.98497,10019,P,\/Date(1575684709000)\/
ML19019294,40.77507,-73.9823,10023,P,\/Date(1575749165000)\/
QL18004912,40.75644,-73.80735,11358,M,\/Date(1530125443000)\/
QL18008408,40.78152,-73.81713,11357,M,\/Date(1541770235000)\/
QL19000266,40.78369,-73.81743,11357,P,\/Date(1546630374000)\/
QL19002795,40.75786,-73.83412,11354,M,\/Date(1555029654000)\/
QL19003739,40.71248,-74.0062,10007,M,\/Date(1558535801000)\/
QL19003872,40.73169,-73.82568,11367,M,\/Date(1559233935000)\/
QL19004060,40.72929,-73.72616,11426,P,\/Date(1559918928000)\/
QL19004565,40.75052,-73.7938,11358,M,\/Date(1561563909000)\/
QL19006042,40.76377,-73.78737,11358,M,\/Date(1567167736000)\/
QL19006050,40.77394,-73.79238,11358,M,\/Date(1567179835000)\/
QL19006350,40.75066,-73.78429,11365,M,\/Date(1568050022000)\/
QL19006654,40.75768,-73.78011,11361,M,\/Date(1568746240000)\/
QL19006671,40.76396,-73.79784,11358,M,\/Date(1568821220000)\/
QL19006735,40.7664,-73.73538,11362,M,\/Date(1569015736000)\/
QL19006794,40.78726,-73.84473,11356,M,\/Date(1569256103000)\/
QL19006833,40.77905,-73.909,11105,M,\/Date(1569373609000)\/
QL19006866,40.75589,-73.79377,11358,M,\/Date(1569451083000)\/
QL19007058,40.77006,-73.8457,11354,P,\/Date(1570035733000)\/
QL19007363,40.74771,-73.77475,11364,M,\/Date(1571062595000)\/
QL19007441,40.74665,-73.71763,11004,M,\/Date(1571234563000)\/
QL19007859,40.74645,-73.82433,11355,P,\/Date(1572105330000)\/
QL19008127,40.76013,-73.77501,11361,P,\/Date(1572811908000)\/
QL19008248,40.74726,-73.71899,11004,M,\/Date(1573057680000)\/
QL19008283,40.74348,-73.87057,11373,M,\/Date(1573132520000)\/
QL19008327,40.75178,-73.76709,11364,M,\/Date(1573163278000)\/
QL19008577,40.74292,-73.77616,11365,M,\/Date(1573776584000)\/
QL19008585,40.76676,-73.76452,11361,M,\/Date(1573831282000)\/
QL19008627,40.74871,-73.77522,11364,M,\/Date(1573951803000)\/
QL19008716,40.73265,-73.74766,11427,M,\/Date(1574204200000)\/
QL19008745,40.75133,-73.71331,11005,M,\/Date(1574276663000)\/
QL19008776,40.72636,-73.78429,11432,M,\/Date(1574351371000)\/
QL19008864,40.7391,-73.81825,11367,P,\/Date(1574549091000)\/
QL19008929,40.7503,-73.81877,11355,M,\/Date(1574702940000)\/
